Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[09:36:18] Dataset root: ../cnn_dataset_split_facility_test-NoordelikeWerke  Component: clarifier
[09:36:18] Architectures to tune (6): ['resnet18', 'efficientnet_b0', 'densenet121', 'resnet50', 'convnext_tiny', 'inception_v3']
[09:36:18] Trials per architecture: 20
[09:36:18] === Starting tuning for resnet18: 20 trials, img_size=(224, 224) ===
[I 2026-09-22 09:36:18,730] A new study created in memory with name: resnet18_tune
[09:36:18] [resnet18] trial 0: H=1 N=512 lr=2.92e-03 beta1=0.800 step_size=30 batch_size=16 (micro_batch=16, accum_steps=1)
Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[resnet18 trial1] Epoch  45/100 | LR: 1.38e-04 | train loss 0.1327 acc 0.937 | val loss 0.4157 acc 0.871

[resnet18 trial1] No val loss improvement for 10 epochs — stopping early at epoch 45.

[resnet18 trial1] Restored best checkpoint (val loss = 0.3670)
[09:46:39] [resnet18] trial 1 finished: best val_acc=0.8585 (at val_loss=0.3670)
[I 2026-09-22 09:46:39,025] Trial 1 finished with value: 0.8585365853658536 and parameters: {'hidden_layers': 2, 'neurons': 2048, 'lr': 0.0013826232179369874, 'beta1': 0.5996372172970215, 'step_size': 23, 'batch_size': 96}. Best is trial 1 with value: 0.8585365853658536.
[09:46:39] [resnet18] trial 2: H=2 N=1024 lr=4.34e-03 beta1=0.629 step_size=28 batch_size=48 (micro_batch=16, accum_steps=3)
[resnet18 trial2] Using gradient accumulation: 3 micro-batches per optimizer step (effective batch size ≈ micro_batch x 3).
[resnet18 trial2] Epoch   1/100 | LR: 4.34e-03 | train loss 2.0667 acc 0.335 | val loss 1.8166 acc 0.280 *
[resnet18 trial2] Epoch   2/100 | LR: 4.34e-03 | train loss 1.3866 acc 0.440 | val loss 2.2567 acc 0.439
[resnet18 trial2] Epoch   3/100 | LR: 4.34e-03 | train loss 1.3352 acc 0.381 | val loss 1.3159 acc 0.356 *
